tarefa,tecnica,input,resposta,acuracia,tokens_totais,tempo_ms,temperatura
classificacao_sentimento_mercado,Zero-Shot,"Copom mantém Selic em 10,50% ao ano e sinaliza vigilância constante sobre inflação.",MISTO,0.0,142,3478,0.3
classificacao_sentimento_mercado,Few-Shot,"Copom mantém Selic em 10,50% ao ano e sinaliza vigilância constante sobre inflação.",NEGATIVO,0.0,223,2212,0.3
classificacao_sentimento_mercado,Chain-of-Thought,"Copom mantém Selic em 10,50% ao ano e sinaliza vigilância constante sobre inflação.",MISTO,0.0,229,2617,0.3
classificacao_sentimento_mercado,Role-Prompting,"Copom mantém Selic em 10,50% ao ano e sinaliza vigilância constante sobre inflação.",NEGATIVO,0.0,244,1192,0.3
classificacao_sentimento_mercado,Zero-Shot,Lucro líquido da Petrobras cai 38% no primeiro trimestre devido à queda internacional do petróleo.,NEGATIVO,1.0,143,876,0.3
classificacao_sentimento_mercado,Few-Shot,Lucro líquido da Petrobras cai 38% no primeiro trimestre devido à queda internacional do petróleo.,NEGATIVO,1.0,224,1261,0.3
classificacao_sentimento_mercado,Chain-of-Thought,Lucro líquido da Petrobras cai 38% no primeiro trimestre devido à queda internacional do petróleo.,NEGATIVO,1.0,230,1141,0.3
classificacao_sentimento_mercado,Role-Prompting,Lucro líquido da Petrobras cai 38% no primeiro trimestre devido à queda internacional do petróleo.,NEGATIVO,1.0,245,995,0.3
classificacao_sentimento_mercado,Zero-Shot,Exportações brasileiras batem recorde histórico com forte demanda chinesa por commodities.,POSITIVO,1.0,135,978,0.3
classificacao_sentimento_mercado,Few-Shot,Exportações brasileiras batem recorde histórico com forte demanda chinesa por commodities.,POSITIVO,1.0,216,972,0.3
classificacao_sentimento_mercado,Chain-of-Thought,Exportações brasileiras batem recorde histórico com forte demanda chinesa por commodities.,POSITIVO,1.0,222,1020,0.3
classificacao_sentimento_mercado,Role-Prompting,Exportações brasileiras batem recorde histórico com forte demanda chinesa por commodities.,POSITIVO,1.0,237,1291,0.3
classificacao_sentimento_mercado,Zero-Shot,Ibovespa opera em volatilidade com incertezas fiscais compensadas por alta de bancos.,MISTO,1.0,142,1190,0.3
classificacao_sentimento_mercado,Few-Shot,Ibovespa opera em volatilidade com incertezas fiscais compensadas por alta de bancos.,MISTO,1.0,223,1544,0.3
classificacao_sentimento_mercado,Chain-of-Thought,Ibovespa opera em volatilidade com incertezas fiscais compensadas por alta de bancos.,MISTO,1.0,229,1249,0.3
classificacao_sentimento_mercado,Role-Prompting,Ibovespa opera em volatilidade com incertezas fiscais compensadas por alta de bancos.,MISTO,1.0,244,1241,0.3
classificacao_sentimento_mercado,Zero-Shot,Inflação medida pelo IPCA-15 vem abaixo do teto das estimativas de mercado em maio.,POSITIVO,1.0,138,1083,0.3
classificacao_sentimento_mercado,Few-Shot,Inflação medida pelo IPCA-15 vem abaixo do teto das estimativas de mercado em maio.,POSITIVO,1.0,219,1237,0.3
classificacao_sentimento_mercado,Chain-of-Thought,Inflação medida pelo IPCA-15 vem abaixo do teto das estimativas de mercado em maio.,POSITIVO,1.0,225,1059,0.3
classificacao_sentimento_mercado,Role-Prompting,Inflação medida pelo IPCA-15 vem abaixo do teto das estimativas de mercado em maio.,POSITIVO,1.0,240,1090,0.3
extracao_dados_financeiros,Zero-Shot,"A ação da VALE3 encerrou o pregão cotada a R$ 64,20, apresentando uma valorização de 2,1% no dia.","```json
{
  ""ticker"": ""VALE3"",
  ""preco_fechamento"": 64.20,
  ""variacao_percentual"": 2.1
}
```",0.0,180,1532,0.3
extracao_dados_financeiros,Few-Shot,"A ação da VALE3 encerrou o pregão cotada a R$ 64,20, apresentando uma valorização de 2,1% no dia.","{""ticker"": ""VALE3"", ""preco_fechamento"": ""64,20"", ""variacao_percentual"": ""2,1%""}",1.0,260,1443,0.3
extracao_dados_financeiros,Chain-of-Thought,"A ação da VALE3 encerrou o pregão cotada a R$ 64,20, apresentando uma valorização de 2,1% no dia.","```json
{
  ""ticker"": ""VALE3"",
  ""preco_fechamento"": 64.20,
  ""variacao_percentual"": 2.1
}
```",0.0,265,1993,0.3
extracao_dados_financeiros,Role-Prompting,"A ação da VALE3 encerrou o pregão cotada a R$ 64,20, apresentando uma valorização de 2,1% no dia.","```json
{
  ""ticker"": ""VALE3"",
  ""preco_fechamento"": 64.20,
  ""variacao_percentual"": 2.1
}
```",0.0,282,1417,0.3
extracao_dados_financeiros,Zero-Shot,"O papel ITUB4 recuou para R$ 32,15 com queda de 0,85% após anúncio de dividendos.","```json
{
  ""ticker"": ""ITUB4"",
  ""preco_fechamento"": 32.15,
  ""variacao_percentual"": -0.85
}
```",0.0,175,1619,0.3
extracao_dados_financeiros,Few-Shot,"O papel ITUB4 recuou para R$ 32,15 com queda de 0,85% após anúncio de dividendos.","{""ticker"": ""ITUB4"", ""preco_fechamento"": ""32,15"", ""variacao_percentual"": ""-0,85%""}",1.0,255,2238,0.3
extracao_dados_financeiros,Chain-of-Thought,"O papel ITUB4 recuou para R$ 32,15 com queda de 0,85% após anúncio de dividendos.","```json
{
  ""ticker"": ""ITUB4"",
  ""preco_fechamento"": 32.15,
  ""variacao_percentual"": -0.85
}
```",0.0,260,2525,0.3
extracao_dados_financeiros,Role-Prompting,"O papel ITUB4 recuou para R$ 32,15 com queda de 0,85% após anúncio de dividendos.","```json
{
  ""ticker"": ""ITUB4"",
  ""preco_fechamento"": 32.15,
  ""variacao_percentual"": -0.85
}
```",0.0,277,1460,0.3
extracao_dados_financeiros,Zero-Shot,"WEGE3 subiu forte hoje, fechando a R$ 39,90 com ganho expressivo de 3,4%.","```json
{
  ""ticker"": ""WEGE3"",
  ""preco_fechamento"": 39.90,
  ""variacao_percentual"": 3.4
}
```",0.0,174,1716,0.3
extracao_dados_financeiros,Few-Shot,"WEGE3 subiu forte hoje, fechando a R$ 39,90 com ganho expressivo de 3,4%.","{""ticker"": ""WEGE3"", ""preco_fechamento"": ""39,90"", ""variacao_percentual"": ""3,4%""}",1.0,254,1532,0.3
extracao_dados_financeiros,Chain-of-Thought,"WEGE3 subiu forte hoje, fechando a R$ 39,90 com ganho expressivo de 3,4%.","```json
{
  ""ticker"": ""WEGE3"",
  ""preco_fechamento"": 39.90,
  ""variacao_percentual"": 3.4
}
```",0.0,259,1384,0.3
extracao_dados_financeiros,Role-Prompting,"WEGE3 subiu forte hoje, fechando a R$ 39,90 com ganho expressivo de 3,4%.","```json
{
  ""ticker"": ""WEGE3"",
  ""preco_fechamento"": 39.90,
  ""variacao_percentual"": 3.4
}
```",0.0,276,1648,0.3
extracao_dados_financeiros,Zero-Shot,"Papéis da MGLU3 derretem 5,2% e terminam o dia valendo apenas R$ 1,45.","```json
{
  ""ticker"": ""MGLU3"",
  ""preco_fechamento"": 1.45,
  ""variacao_percentual"": -5.2
}
```",0.0,175,2321,0.3
extracao_dados_financeiros,Few-Shot,"Papéis da MGLU3 derretem 5,2% e terminam o dia valendo apenas R$ 1,45.","{
  ""ticker"": ""MGLU3"",
  ""preco_fechamento"": ""1,45"",
  ""variacao_percentual"": ""-5,2%""
}",0.0,259,1558,0.3
extracao_dados_financeiros,Chain-of-Thought,"Papéis da MGLU3 derretem 5,2% e terminam o dia valendo apenas R$ 1,45.","```json
{
  ""ticker"": ""MGLU3"",
  ""preco_fechamento"": 1.45,
  ""variacao_percentual"": -5.2
}
```",0.0,260,2604,0.3
extracao_dados_financeiros,Role-Prompting,"Papéis da MGLU3 derretem 5,2% e terminam o dia valendo apenas R$ 1,45.","```json
{
  ""ticker"": ""MGLU3"",
  ""preco_fechamento"": 1.45,
  ""variacao_percentual"": -5.2
}
```",0.0,277,1755,0.3
extracao_dados_financeiros,Zero-Shot,"BBDC4 estabiliza em R$ 13,80 com leve alta de 0,1% em dia de pouca liquidez.","```json
{
  ""ticker"": ""BBDC4"",
  ""preco_fechamento"": 13.80,
  ""variacao_percentual"": 0.1
}
```",0.0,174,2555,0.3
extracao_dados_financeiros,Few-Shot,"BBDC4 estabiliza em R$ 13,80 com leve alta de 0,1% em dia de pouca liquidez.","{""ticker"": ""BBDC4"", ""preco_fechamento"": ""13,80"", ""variacao_percentual"": ""0,1%""}",1.0,254,1503,0.3
extracao_dados_financeiros,Chain-of-Thought,"BBDC4 estabiliza em R$ 13,80 com leve alta de 0,1% em dia de pouca liquidez.","```json
{
  ""ticker"": ""BBDC4"",
  ""preco_fechamento"": 13.80,
  ""variacao_percentual"": 0.1
}
```",0.0,259,1847,0.3
extracao_dados_financeiros,Role-Prompting,"BBDC4 estabiliza em R$ 13,80 com leve alta de 0,1% em dia de pouca liquidez.","```json
{
  ""ticker"": ""BBDC4"",
  ""preco_fechamento"": 13.80,
  ""variacao_percentual"": 0.1
}
```",0.0,276,1640,0.3
sumarizacao_executiva,Zero-Shot,"O conselho de administração da empresa aprovou hoje a emissão de debêntures no valor de R$ 2 bilhões para expansão de plantas solares no Nordeste, visando reduzir a dependência de fontes fósseis até 2030.","- Aprovação da emissão de debêntures de **R$ 2 bi** para financiar a expansão das plantas solares no Nordeste.  
- Objetivo estratégico: **reduzir a dependência de fontes fósseis** e avançar na meta de descarbonização até **2030**.  
- Impacto esperado: aumento da capacidade de geração renovável, fortalecimento da posição de mercado e alinhamento com as diretrizes ESG da empresa.",0.0,276,1501,0.3
sumarizacao_executiva,Few-Shot,"O conselho de administração da empresa aprovou hoje a emissão de debêntures no valor de R$ 2 bilhões para expansão de plantas solares no Nordeste, visando reduzir a dependência de fontes fósseis até 2030.","* Aprovação da emissão de debêntures no valor de R$ 2 bi para financiar a expansão de plantas solares no Nordeste.  
* Objetivo estratégico: reduzir a dependência de fontes fósseis da empresa até 2030.  
* Alinhamento com a meta de sustentabilidade e diversificação da matriz energética da companhia.",0.0,327,1548,0.3
sumarizacao_executiva,Chain-of-Thought,"O conselho de administração da empresa aprovou hoje a emissão de debêntures no valor de R$ 2 bilhões para expansão de plantas solares no Nordeste, visando reduzir a dependência de fontes fósseis até 2030.","- Aprovação da emissão de debêntures de **R$ 2 bi** para financiar a expansão das plantas solares no Nordeste.  
- Objetivo estratégico: **reduzir a dependência de fontes fósseis** e avançar na meta de energia limpa até **2030**.  
- Impacto esperado: aumento da capacidade de geração solar, diversificação do mix energético e fortalecimento da posição da empresa no mercado de renováveis.",0.0,343,1305,0.3
sumarizacao_executiva,Role-Prompting,"O conselho de administração da empresa aprovou hoje a emissão de debêntures no valor de R$ 2 bilhões para expansão de plantas solares no Nordeste, visando reduzir a dependência de fontes fósseis até 2030.","- Aprovação da emissão de debêntures de R$ 2 bi para financiar a expansão das plantas solares no Nordeste, alinhada à estratégia de descarbonização da companhia até 2030.  
- Destinação dos recursos: construção de novas unidades fotovoltaicas, upgrade de infraestrutura de transmissão e contratação de serviços de EPC, com prazo de implementação de 24 meses.  
- Impacto esperado: aumento da capacidade instalada em ~30 %, redução da participação de geração fóssil em ~15 % no mix energético da empresa, e melhoria da alavancagem financeira com dívida de longo prazo atrelada a ativos de energia renovável.",0.0,440,1651,0.3
sumarizacao_executiva,Zero-Shot,A reunião do comitê de riscos decidiu elevar a provisão para devedores duvidosos em 15% após o aumento da inadimplência no setor de varejo físico durante o último trimestre de 2025.,"- **Decisão:** Elevar a provisão para devedores duvidosos em **15%**.  
- **Motivo:** Aumento significativo da inadimplência no **setor de varejo físico** no último trimestre de 2025.  
- **Impacto esperado:** Reforço da cobertura de risco e ajuste nos resultados financeiros projetados para o próximo período.",0.0,243,1327,0.3
